TenantId,Computer,ObjectName,CounterName,InstanceName,Min,Max,SampleCount,CounterValue,TimeGenerated,BucketStartTime,BucketEndTime,SourceSystem,CounterPath,StandardDeviation,MG,Type,"_ResourceId"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,"Network Adapter","Bytes Sent/sec","6to4 Adapter",null,null,null,0,"2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\Network Adapter(6to4 Adapter)\Bytes Sent/sec",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,"Network Adapter","Bytes Sent/sec","Microsoft Hyper-V Network Adapter",null,null,null,"831.380859375","2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\Network Adapter(Microsoft Hyper-V Network Adapter)\Bytes Sent/sec",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,"Network Adapter","Bytes Sent/sec","Microsoft IP-HTTPS Platform Interface",null,null,null,0,"2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\Network Adapter(Microsoft IP-HTTPS Platform Interface)\Bytes Sent/sec",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,"Network Adapter","Bytes Sent/sec","Microsoft Kernel Debug Network Adapter",null,null,null,0,"2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\Network Adapter(Microsoft Kernel Debug Network Adapter)\Bytes Sent/sec",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,"Network Adapter","Bytes Sent/sec","Teredo Tunneling Pseudo-Interface",null,null,null,0,"2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\Network Adapter(Teredo Tunneling Pseudo-Interface)\Bytes Sent/sec",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,LogicalDisk,"Current Disk Queue Length",HarddiskVolume1,null,null,null,0,"2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\LogicalDisk(HarddiskVolume1)\Current Disk Queue Length",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,LogicalDisk,"Disk Writes/sec","C:",null,null,null,"2.29746007919312","2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\LogicalDisk(C:)\Disk Writes/sec",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,"Network Adapter","Bytes Received/sec","Microsoft Hyper-V Network Adapter",null,null,null,"370.989868164063","2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\Network Adapter(Microsoft Hyper-V Network Adapter)\Bytes Received/sec",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,LogicalDisk,"Avg. Disk sec/Write","D:",null,null,null,0,"2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\LogicalDisk(D:)\Avg. Disk sec/Write",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,LogicalDisk,"Disk Writes/sec","D:",null,null,null,0,"2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\LogicalDisk(D:)\Disk Writes/sec",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,LogicalDisk,"Disk Writes/sec",HarddiskVolume1,null,null,null,0,"2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\LogicalDisk(HarddiskVolume1)\Disk Writes/sec",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,LogicalDisk,"Disk Writes/sec","_Total",null,null,null,"2.29746007919312","2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\LogicalDisk(_Total)\Disk Writes/sec",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,"Network Interface","Bytes Total/sec","Microsoft Hyper-V Network Adapter",null,null,null,"1202.37072753906","2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\Network Interface(Microsoft Hyper-V Network Adapter)\Bytes Total/sec",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,System,"Processor Queue Length",,null,null,null,0,"2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\System\Processor Queue Length",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,LogicalDisk,"Avg. Disk sec/Read","D:",null,null,null,0,"2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\LogicalDisk(D:)\Avg. Disk sec/Read",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
"7a37406a-c6ae-46bc-a171-ba116288622e",CoffeeFixDev,LogicalDisk,"Avg. Disk sec/Read",HarddiskVolume1,null,null,null,0,"2019-11-17T21:34:46.687Z",null,null,OpsManager,"\\CoffeeFixDev\LogicalDisk(HarddiskVolume1)\Avg. Disk sec/Read",null,"00000000-0000-0000-0000-000000000001",Perf,"/subscriptions/580dbac4-cf41-460d-a17b-af7299f00c16/resourcegroups/coffeefix/providers/microsoft.compute/virtualmachines/coffeefixdev"
